month,issue_comments,prs_opened,prs_merged,prs_closed,issues_opened,issues_closed,reviews,commits
2012-02,0,0,0,0,0,0,0,0
2012-03,0,0,0,0,0,0,0,0
2012-04,0,0,0,0,0,0,0,0
2012-05,0,0,0,0,0,0,0,0
2012-06,0,0,0,0,0,0,0,0
2012-07,0,0,0,0,0,0,0,0
2012-08,0,0,0,0,0,0,0,0
2012-09,0,0,0,0,0,0,0,0
2012-10,0,0,0,0,0,0,0,0
2012-11,0,0,0,0,0,0,0,0
2012-12,0,0,0,0,0,0,0,0
2013-01,0,0,0,0,0,0,0,1
2013-02,0,0,0,0,0,0,0,8
2013-03,0,0,0,0,0,0,0,6
2013-04,0,0,0,0,0,0,0,0
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,1
2013-07,0,0,0,0,0,0,0,2
2013-08,0,1,1,0,0,0,0,4
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,3,0,0,0,1,0,0,83
2013-12,0,0,0,0,0,0,0,4
2014-01,7,1,1,0,4,3,0,43
2014-02,0,0,0,0,3,0,0,61
2014-03,5,1,1,0,4,1,0,87
2014-04,0,0,0,0,0,0,0,106
2014-05,0,0,0,0,0,0,0,71
2014-06,0,0,0,0,0,0,0,21
2014-07,1,0,0,0,2,1,0,15
2014-08,0,0,0,0,0,0,0,4
2014-09,0,0,0,0,0,0,0,24
2014-10,17,0,0,0,12,5,0,150
2014-11,3,0,0,0,2,2,0,77
2014-12,4,0,0,0,3,4,0,74
2015-01,0,0,0,0,0,0,0,51
2015-02,1,1,1,0,0,1,0,104
2015-03,6,1,1,0,0,0,0,126
2015-04,6,1,1,0,6,2,0,49
2015-05,1,0,0,0,7,4,0,59
2015-06,1,0,0,0,0,0,0,8
2015-07,3,0,0,0,12,0,0,16
2015-08,3,0,0,0,2,2,0,23
2015-09,12,3,2,0,5,1,0,109
2015-10,2,0,0,0,1,1,0,18
2015-11,9,0,0,0,5,5,0,46
2015-12,10,1,1,0,1,1,0,66
2016-01,19,0,0,0,8,1,0,29
2016-02,6,1,1,0,3,2,0,47
2016-03,16,0,0,0,7,5,0,28
2016-04,5,4,4,0,10,5,0,155
2016-05,10,3,1,2,5,3,0,71
2016-06,6,0,0,0,9,2,0,23
2016-07,26,5,5,0,32,11,0,211
2016-08,21,7,5,0,6,15,0,199
2016-09,6,2,3,0,4,1,0,137
2016-10,3,3,3,0,0,1,1,90
2016-11,7,1,1,0,0,1,2,19
2016-12,0,1,2,0,0,0,0,15
2017-01,16,12,10,0,7,3,3,83
2017-02,7,2,0,0,7,2,0,52
2017-03,55,13,12,0,12,8,7,124
2017-04,58,19,20,0,18,9,5,209
2017-05,46,13,7,1,31,10,5,202
2017-06,111,29,27,3,31,20,4,328
2017-07,72,0,4,0,9,8,3,33
2017-08,120,23,14,2,23,14,2,311
2017-09,27,2,3,2,9,3,0,54
2017-10,62,8,8,0,19,11,4,125
2017-11,68,6,4,1,10,9,1,97
2017-12,26,0,0,0,5,4,2,10
2018-01,44,7,5,0,9,2,4,64
2018-02,50,3,2,0,4,8,4,86
2018-03,31,2,4,1,0,3,0,33
2018-04,25,4,2,0,4,5,4,40
2018-05,54,14,15,2,8,11,3,167
2018-06,37,15,9,0,10,3,19,173
2018-07,89,16,17,1,32,10,31,144
2018-08,83,28,22,1,18,4,4,196
2018-09,43,3,3,0,10,4,2,67
2018-10,24,4,2,0,4,3,1,38
2018-11,31,5,3,0,3,1,0,41
2018-12,40,5,7,0,10,6,2,59
2019-01,41,5,5,0,9,4,2,70
2019-02,42,9,8,1,8,5,5,93
2019-03,57,16,19,2,21,18,19,210
2019-04,40,4,4,0,1,8,4,62
2019-05,34,10,10,0,10,5,4,76
2019-06,6,2,0,0,0,1,0,16
2019-07,23,27,29,0,9,7,11,175
2019-08,19,6,4,0,5,2,8,39
2019-09,18,5,2,0,1,0,1,43
2019-10,26,10,11,0,3,1,3,184
2019-11,25,4,4,0,0,4,1,44
2019-12,49,7,6,0,2,4,3,83
2020-01,43,4,5,1,1,1,4,60
2020-02,102,4,3,1,5,26,3,26
2020-03,138,16,16,2,17,9,13,125
2020-04,94,13,10,2,7,10,8,82
2020-05,58,4,4,0,5,1,0,162
2020-06,55,9,7,0,1,1,5,88
2020-07,62,8,7,1,6,5,9,91
2020-08,24,5,6,0,1,3,3,60
2020-09,63,4,4,0,6,2,0,70
2020-10,49,7,6,0,10,4,5,85
2020-11,83,16,12,0,15,9,3,158
2020-12,122,30,25,3,18,5,12,216
2021-01,48,14,12,0,4,3,1,94
2021-02,53,15,12,1,4,6,5,109
2021-03,63,15,13,0,3,2,8,88
2021-04,58,11,11,1,7,8,2,126
2021-05,100,19,17,4,10,8,13,286
2021-06,77,19,19,3,3,7,5,301
2021-07,34,2,1,0,2,1,5,79
2021-08,32,0,0,0,1,2,3,34
2021-09,36,7,4,0,4,1,5,82
2021-10,26,6,5,0,0,0,2,107
2021-11,42,4,4,0,3,1,4,71
2021-12,24,6,4,2,1,3,3,60
2022-01,41,4,7,0,2,5,5,73
2022-02,18,5,5,0,0,0,4,52
2022-03,77,19,15,2,5,6,3,223
2022-04,40,7,9,0,4,3,1,85
2022-05,25,2,1,0,3,2,3,33
2022-06,37,5,3,1,2,1,5,54
2022-07,37,23,18,2,5,1,7,179
2022-08,20,7,5,0,2,0,4,111
2022-09,55,7,7,1,3,1,2,64
2022-10,62,14,9,0,1,2,9,76
2022-11,45,12,12,1,0,0,7,60
2022-12,12,0,0,0,0,0,1,3
2023-01,34,4,4,1,1,1,1,83
2023-02,20,2,0,0,2,1,0,9
2023-03,40,7,7,1,1,4,4,136
2023-04,13,2,2,0,2,2,0,45
2023-05,39,19,17,1,2,1,4,91
2023-06,15,2,2,0,2,1,2,29
2023-07,16,5,2,1,2,0,1,46
2023-08,49,13,10,1,2,2,2,71
2023-09,75,8,6,3,6,1,3,163
2023-10,61,8,5,3,2,6,4,206
2023-11,80,13,12,0,30,16,9,316
2023-12,36,20,9,0,4,1,4,31
2024-01,36,16,11,0,11,3,7,57
2024-02,13,5,6,0,4,2,2,13
2024-03,26,12,6,4,4,1,6,29
2024-04,15,4,4,0,1,0,6,23
2024-05,64,13,10,4,1,3,9,119
2024-06,27,2,2,1,6,1,1,45
2024-07,15,1,1,0,1,0,9,25
2024-08,31,14,14,1,5,6,6,186
2024-09,50,24,19,1,11,10,9,185
2024-10,101,25,23,1,17,10,16,185
2024-11,57,29,20,0,14,5,14,187
2024-12,88,35,34,7,19,15,15,128
2025-01,58,33,29,0,13,12,17,182
2025-02,63,24,18,1,7,9,14,96
2025-03,67,24,18,2,7,6,17,133
2025-04,30,18,13,1,9,2,10,26
2025-05,26,17,14,1,7,2,8,65
2025-06,49,46,40,3,8,3,6,131
2025-07,30,16,13,0,13,8,6,74
2025-08,18,23,18,1,1,4,4,120
2025-09,25,15,12,1,6,2,1,75
2025-10,163,22,20,8,25,36,21,138
2025-11,112,18,17,5,2,8,12,71
2025-12,209,19,19,2,16,31,33,78
2026-01,441,28,26,6,31,27,55,75
2026-02,360,51,49,20,18,42,51,100
2026-03,345,24,24,1,26,34,37,53
2026-04,117,27,25,9,12,11,13,31
2026-05,132,5,4,2,7,14,11,27
2026-06,160,35,30,4,5,9,12,41
2026-07,330,43,41,5,17,17,17,70
2026-08,253,26,23,2,12,7,13,41
2026-09,271,30,30,2,49,44,7,81
